benchmark,system,task_id,status,correct,expected_answer,final_answer,runtime_seconds,text_chars
DAComp-DA,DeepEye,dacomp-zh-001,failed,,,,45.17,48
DAComp-DA,DeepEye,dacomp-zh-002,completed,,,,40.126,810
DAComp-DA,DeepEye,dacomp-zh-003,failed,,,,30.12,242
DAComp-DA,DeepEye,dacomp-zh-004,failed,,,,100.329,48
DAComp-DA,DeepEye,dacomp-zh-005,failed,,,,125.367,404
DAComp-DA,DeepEye,dacomp-zh-006,completed,,,,30.125,496
DAComp-DA,DeepEye,dacomp-zh-007,completed,,,,70.232,539
DAComp-DA,DeepEye,dacomp-zh-008,completed,,,,30.101,1074
DAComp-DA,DeepEye,dacomp-zh-009,completed,,,,40.164,709
DAComp-DA,DeepEye,dacomp-zh-010,failed,,,,80.249,48
DAComp-DA,DeepEye,dacomp-zh-011,completed,,,,20.096,11
DAComp-DA,DeepEye,dacomp-zh-012,timeout,,,,902.135,0
DAComp-DA,DeepEye,dacomp-zh-013,completed,,,,50.114,1088
DAComp-DA,DeepEye,dacomp-zh-014,completed,,,,215.399,829
DAComp-DA,DeepEye,dacomp-zh-015,completed,,,,60.146,1306
DAComp-DA,DeepEye,dacomp-zh-016,completed,,,,50.108,568
DAComp-DA,DeepEye,dacomp-zh-017,failed,,,,115.276,48
DAComp-DA,DeepEye,dacomp-zh-018,completed,,,,30.115,280
DAComp-DA,DeepEye,dacomp-zh-019,failed,,,,65.184,379
DAComp-DA,DeepEye,dacomp-zh-020,failed,,,,75.206,974
DAComp-DA,DeepEye,dacomp-zh-021,completed,,,,115.363,1070
DAComp-DA,DeepEye,dacomp-zh-022,failed,,,,110.368,1757
DAComp-DA,DeepEye,dacomp-zh-023,completed,,,,40.129,864
DAComp-DA,DeepEye,dacomp-zh-024,completed,,,,65.181,575
DAComp-DA,DeepEye,dacomp-zh-025,failed,,,,45.181,275
DAComp-DA,DeepEye,dacomp-zh-026,failed,,,,155.345,48
DAComp-DA,DeepEye,dacomp-zh-027,completed,,,,105.239,802
DAComp-DA,DeepEye,dacomp-zh-028,completed,,,,45.123,956
DAComp-DA,DeepEye,dacomp-zh-029,failed,,,,20.081,332
DAComp-DA,DeepEye,dacomp-zh-030,completed,,,,70.174,705
DAComp-DA,DeepEye,dacomp-zh-031,failed,,,,90.209,750
DAComp-DA,DeepEye,dacomp-zh-032,completed,,,,200.59,343
DAComp-DA,DeepEye,dacomp-zh-033,failed,,,,80.243,181
DAComp-DA,DeepEye,dacomp-zh-034,failed,,,,80.432,545
DAComp-DA,DeepEye,dacomp-zh-035,failed,,,,25.124,154
DAComp-DA,DeepEye,dacomp-zh-036,failed,,,,55.181,181
DAComp-DA,DeepEye,dacomp-zh-037,timeout,,,,180.53,0
DAComp-DA,DeepEye,dacomp-zh-038,completed,,,,55.163,784
DAComp-DA,DeepEye,dacomp-zh-039,completed,,,,45.157,443
DAComp-DA,DeepEye,dacomp-zh-040,failed,,,,90.336,664
DAComp-DA,DeepEye,dacomp-zh-041,timeout,,,,455.864,0
DAComp-DA,DeepEye,dacomp-zh-042,failed,,,,140.326,48
DAComp-DA,DeepEye,dacomp-zh-043,failed,,,,45.105,276
DAComp-DA,DeepEye,dacomp-zh-044,failed,,,,30.105,271
