sut,workload,task_id,metric,value
DummySystem,legal-tiny,legal-hard-1,token_usage_sut,0.0
DummySystem,legal-tiny,legal-hard-1,token_usage_sut_input,0.0
DummySystem,legal-tiny,legal-hard-1,token_usage_sut_output,0.0
DummySystem,legal-tiny,legal-hard-1,runtime,0.12632489204406738
DummySystem,legal-tiny,legal-hard-1,mean_absolute_error,
DummySystem,legal-tiny,legal-hard-1,mean_squared_error,
DummySystem,legal-tiny,legal-hard-1,rae_score,0.0
DummySystem,legal-tiny,legal-hard-1,token_usage_metrics,0.0
DummySystem,legal-tiny,legal-hard-1,token_usage_metrics_input,0.0
DummySystem,legal-tiny,legal-hard-1,token_usage_metrics_output,0.0
DummySystem,legal-tiny,legal-hard-1,token_usage_subtask_eval,0.0
DummySystem,legal-tiny,legal-hard-1,token_usage_subtask_eval_input,0.0
DummySystem,legal-tiny,legal-hard-1,token_usage_subtask_eval_output,0.0
